Diag Code,
225,Benign neoplasms 
226,Benign neoplasms 
227,Benign neoplasms 
228,Benign neoplasms 
229,Benign neoplasms 
230,Carcinoma in situ 
232,Carcinoma in situ 
233,Carcinoma in situ 
235,Neoplasms of uncertain behavior
236,Neoplasms of uncertain behavior
237,Neoplasms of uncertain behavior
238,Neoplasms of uncertain behavior
239,Neoplasms of unspecified nature 
240,Disorders of thyroid gland 
241,Disorders of thyroid gland 
242,Disorders of thyroid gland 
243,Disorders of thyroid gland 
244,Disorders of thyroid gland 
245,Disorders of thyroid gland 
246,Disorders of thyroid gland 
250,Diabetes mellitus
250.01,Diabetes mellitus
250.02,Diabetes mellitus
250.03,Diabetes mellitus
250.1,Diabetes mellitus
250.11,Diabetes mellitus
250.12,Diabetes mellitus
250.13,Diabetes mellitus
250.2,Diabetes mellitus
250.21,Diabetes mellitus
250.22,Diabetes mellitus
250.23,Diabetes mellitus
250.3,Diabetes mellitus
250.31,Diabetes mellitus
250.32,Diabetes mellitus
250.33,Diabetes mellitus
250.4,Diabetes mellitus
250.41,Diabetes mellitus
250.42,Diabetes mellitus
250.43,Diabetes mellitus
250.5,Diabetes mellitus
250.51,Diabetes mellitus
250.52,Diabetes mellitus
250.53,Diabetes mellitus
250.6,Diabetes mellitus
250.7,Diabetes mellitus
250.8,Diabetes mellitus
250.81,Diabetes mellitus
250.82,Diabetes mellitus
250.83,Diabetes mellitus
250.9,Diabetes mellitus
250.91,Diabetes mellitus
250.92,Diabetes mellitus
250.93,Diabetes mellitus
251,Other disorders of pancreatic internal secretion
252,Disorders of parathyroid gland
253,Disorders of the pituitary gland and its hypothalamic control
255,Disorders of adrenal glands
256, Ovarian dysfunction
258,Polyglandular dysfunction and related disorders
259,Other endocrine disorders
260,Nutritional deficiencies 
261,Nutritional deficiencies 
262,Nutritional deficiencies 
263,Nutritional deficiencies 
265,Nutritional deficiencies 
266,Nutritional deficiencies 
268,Nutritional deficiencies 
269,Nutritional deficiencies 
270,Other metabolic and immunity disorders
271,Other metabolic and immunity disorders
272,Other metabolic and immunity disorders
273,Other metabolic and immunity disorders
274,Other metabolic and immunity disorders
275,Other metabolic and immunity disorders
276,Other metabolic and immunity disorders
277,Other metabolic and immunity disorders
278,Other metabolic and immunity disorders
279,Other metabolic and immunity disorders
280,Anemia
281,Anemia
282,Anemia
283,Anemia
284,Anemia
285,Anemia
286,Coagulation/hemorrhagic 
287,Coagulation/hemorrhagic 
288,Diseases of White Blood Cells
289,Other diseases of blood and blood-forming organs
290,Psychosis 
291,Psychosis 
292,Psychosis 
293,Psychosis 
294,Psychosis 
295,Psychosis 
296,Psychosis 
297,Psychosis 
298,Psychosis 
299,Psychosis 
300,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
301,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
302,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
303,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
304,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
305,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
306,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
307,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
308,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
309,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
310,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
311,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
312,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
313,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
314,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
315,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
316,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
317,Mental retardation 
318,Mental retardation 
319,Mental retardation 
320,Inflammatory diseases of the central nervous system
322,Inflammatory diseases of the central nervous system
323,Inflammatory diseases of the central nervous system
324,Inflammatory diseases of the central nervous system
325,Inflammatory diseases of the central nervous system
327,Inflammatory diseases of the central nervous system
331,Hereditary and Degenerative diseases of the central nervous system
332,Hereditary and Degenerative diseases of the central nervous system
333,Hereditary and Degenerative diseases of the central nervous system
334,Hereditary and Degenerative diseases of the central nervous system
335,Hereditary and Degenerative diseases of the central nervous system
336,Hereditary and Degenerative diseases of the central nervous system
337,Hereditary and Degenerative diseases of the central nervous system
338,Pain
340,Other Disorders Of The Central Nervous System
341,Other Disorders Of The Central Nervous System
342,Other Disorders Of The Central Nervous System
343,Other Disorders Of The Central Nervous System
344,Other Disorders Of The Central Nervous System
345,Other Disorders Of The Central Nervous System
346,Other Disorders Of The Central Nervous System
347,Other Disorders Of The Central Nervous System
348,Other Disorders Of The Central Nervous System
349,Other Disorders Of The Central Nervous System
350,Disorders Of The Peripheral Nervous System
351,Disorders Of The Peripheral Nervous System
352,Disorders Of The Peripheral Nervous System
353,Disorders Of The Peripheral Nervous System
354,Disorders Of The Peripheral Nervous System
355,Disorders Of The Peripheral Nervous System
356,Disorders Of The Peripheral Nervous System
357,Disorders Of The Peripheral Nervous System
358,Disorders Of The Peripheral Nervous System
359,Disorders Of The Peripheral Nervous System
360,Disorders Of The Eye And Adnexa
361,Disorders Of The Eye And Adnexa
362,Disorders Of The Eye And Adnexa
363,Disorders Of The Eye And Adnexa
364,Disorders Of The Eye And Adnexa
365,Disorders Of The Eye And Adnexa
365.44,Disorders Of The Eye And Adnexa
366,Disorders Of The Eye And Adnexa
368,Disorders Of The Eye And Adnexa
369,Disorders Of The Eye And Adnexa
370,Disorders Of The Eye And Adnexa
372,Disorders Of The Eye And Adnexa
373,Disorders Of The Eye And Adnexa
374,Disorders Of The Eye And Adnexa
375,Disorders Of The Eye And Adnexa
376,Disorders Of The Eye And Adnexa
377,Disorders Of The Eye And Adnexa
378,Disorders Of The Eye And Adnexa
379,Disorders Of The Eye And Adnexa
380,Diseases Of The Ear And Mastoid Process
381,Diseases Of The Ear And Mastoid Process
382,Diseases Of The Ear And Mastoid Process
383,Diseases Of The Ear And Mastoid Process
384,Diseases Of The Ear And Mastoid Process
385,Diseases Of The Ear And Mastoid Process
386,Diseases Of The Ear And Mastoid Process
387,Diseases Of The Ear And Mastoid Process
388,Diseases Of The Ear And Mastoid Process
389,Diseases Of The Ear And Mastoid Process
391,Acute Rheumatic Fever
394,Chronic Rheumatic Heart Disease
395,Chronic Rheumatic Heart Disease
396,Chronic Rheumatic Heart Disease
397,Chronic Rheumatic Heart Disease
398,Chronic Rheumatic Heart Disease
401,Hypertensive Disease
402,Hypertensive Disease
403,Hypertensive Disease
404,Hypertensive Disease
405,Hypertensive Disease
410,Ischemic Heart Disease
411,Ischemic Heart Disease
412,Ischemic Heart Disease
413,Ischemic Heart Disease
414,Ischemic Heart Disease
415,Diseases Of Pulmonary Circulation
416,Diseases Of Pulmonary Circulation
417,Diseases Of Pulmonary Circulation
420,Other Forms Of Heart Disease
421,Other Forms Of Heart Disease
422,Other Forms Of Heart Disease
423,Other Forms Of Heart Disease
424,Other Forms Of Heart Disease
425,Other Forms Of Heart Disease
426,Other Forms Of Heart Disease
427,Other Forms Of Heart Disease
428,Other Forms Of Heart Disease
429,Other Forms Of Heart Disease
430,Cerebrovascular Disease
431,Cerebrovascular Disease
432,Cerebrovascular Disease
433,Cerebrovascular Disease
434,Cerebrovascular Disease
435,Cerebrovascular Disease
436,Cerebrovascular Disease
437,Cerebrovascular Disease
438,Cerebrovascular Disease
440,"Diseases Of Arteries, Arterioles, And Capillaries"
441,"Diseases Of Arteries, Arterioles, And Capillaries"
442,"Diseases Of Arteries, Arterioles, And Capillaries"
443,"Diseases Of Arteries, Arterioles, And Capillaries"
444,"Diseases Of Arteries, Arterioles, And Capillaries"
445,"Diseases Of Arteries, Arterioles, And Capillaries"
446,"Diseases Of Arteries, Arterioles, And Capillaries"
447,"Diseases Of Arteries, Arterioles, And Capillaries"
448,"Diseases Of Arteries, Arterioles, And Capillaries"
451,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System"
452,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System"
453,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System"
454,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System"
455,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System"
456,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System"
457,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System"
458,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System"
459,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System"
460,Acute Respiratory Infections
461,Acute Respiratory Infections
462,Acute Respiratory Infections
463,Acute Respiratory Infections
464,Acute Respiratory Infections
465,Acute Respiratory Infections
466,Acute Respiratory Infections
470,Other Diseases Of Upper Respiratory Tract
471,Other Diseases Of Upper Respiratory Tract
472,Other Diseases Of Upper Respiratory Tract
473,Other Diseases Of Upper Respiratory Tract
474,Other Diseases Of Upper Respiratory Tract
475,Other Diseases Of Upper Respiratory Tract
477,Other Diseases Of Upper Respiratory Tract
478,Other Diseases Of Upper Respiratory Tract
480,Pneumonia And Influenza
481,Pneumonia And Influenza
482,Pneumonia And Influenza
483,Pneumonia And Influenza
484,Pneumonia And Influenza
485,Pneumonia And Influenza
486,Pneumonia And Influenza
487,Pneumonia And Influenza
490,Chronic Obstructive Pulmonary Disease And Allied Conditions
491,Chronic Obstructive Pulmonary Disease And Allied Conditions
492,Chronic Obstructive Pulmonary Disease And Allied Conditions
493,Chronic Obstructive Pulmonary Disease And Allied Conditions
494,Chronic Obstructive Pulmonary Disease And Allied Conditions
495,Chronic Obstructive Pulmonary Disease And Allied Conditions
496,Chronic Obstructive Pulmonary Disease And Allied Conditions
500,Pneumoconioses And Other Lung Diseases Due To External Agents
501,Pneumoconioses And Other Lung Diseases Due To External Agents
506,Pneumoconioses And Other Lung Diseases Due To External Agents
507,Pneumoconioses And Other Lung Diseases Due To External Agents
508,Pneumoconioses And Other Lung Diseases Due To External Agents
510,Other Diseases Of Respiratory System
511,Other Diseases Of Respiratory System
512,Other Diseases Of Respiratory System
513,Other Diseases Of Respiratory System
514,Other Diseases Of Respiratory System
515,Other Diseases Of Respiratory System
516,Other Diseases Of Respiratory System
517,Other Diseases Of Respiratory System
518,Other Diseases Of Respiratory System
519,Other Diseases Of Respiratory System
520,"Diseases Of Oral Cavity, Salivary Glands, And Jaws"
521,"Diseases Of Oral Cavity, Salivary Glands, And Jaws"
522,"Diseases Of Oral Cavity, Salivary Glands, And Jaws"
523,"Diseases Of Oral Cavity, Salivary Glands, And Jaws"
524,"Diseases Of Oral Cavity, Salivary Glands, And Jaws"
525,"Diseases Of Oral Cavity, Salivary Glands, And Jaws"
526,"Diseases Of Oral Cavity, Salivary Glands, And Jaws"
527,"Diseases Of Oral Cavity, Salivary Glands, And Jaws"
528,"Diseases Of Oral Cavity, Salivary Glands, And Jaws"
529,"Diseases Of Oral Cavity, Salivary Glands, And Jaws"
530,"Diseases Of Esophagus, Stomach, And Duodenum"
531,"Diseases Of Esophagus, Stomach, And Duodenum"
532,"Diseases Of Esophagus, Stomach, And Duodenum"
533,"Diseases Of Esophagus, Stomach, And Duodenum"
534,"Diseases Of Esophagus, Stomach, And Duodenum"
535,"Diseases Of Esophagus, Stomach, And Duodenum"
536,"Diseases Of Esophagus, Stomach, And Duodenum"
537,"Diseases Of Esophagus, Stomach, And Duodenum"
538,"Diseases Of Esophagus, Stomach, And Duodenum"
540,Appendicitis
541,Appendicitis
542,Appendicitis
543,Appendicitis
550,Hernia Of Abdominal Cavity
551,Hernia Of Abdominal Cavity
552,Hernia Of Abdominal Cavity
553,Hernia Of Abdominal Cavity
555,Noninfective Enteritis And Colitis
556,Noninfective Enteritis And Colitis
557,Noninfective Enteritis And Colitis
558,Noninfective Enteritis And Colitis
560,Other Diseases Of Intestines And Peritoneum
562,Other Diseases Of Intestines And Peritoneum
564,Other Diseases Of Intestines And Peritoneum
565,Other Diseases Of Intestines And Peritoneum
566,Other Diseases Of Intestines And Peritoneum
567,Other Diseases Of Intestines And Peritoneum
568,Other Diseases Of Intestines And Peritoneum
569,Other Diseases Of Intestines And Peritoneum
570,Other Diseases Of Digestive System
571,Other Diseases Of Digestive System
572,Other Diseases Of Digestive System
573,Other Diseases Of Digestive System
574,Other Diseases Of Digestive System
575,Other Diseases Of Digestive System
576,Other Diseases Of Digestive System
577,Other Diseases Of Digestive System
578,Other Diseases Of Digestive System
579,Other Diseases Of Digestive System
580,"Nephritis, Nephrotic Syndrome, And Nephrosis"
581,"Nephritis, Nephrotic Syndrome, And Nephrosis"
582,"Nephritis, Nephrotic Syndrome, And Nephrosis"
583,"Nephritis, Nephrotic Syndrome, And Nephrosis"
584,"Nephritis, Nephrotic Syndrome, And Nephrosis"
585,"Nephritis, Nephrotic Syndrome, And Nephrosis"
586,"Nephritis, Nephrotic Syndrome, And Nephrosis"
588,"Nephritis, Nephrotic Syndrome, And Nephrosis"
590,Other Diseases Of Urinary System
591,Other Diseases Of Urinary System
592,Other Diseases Of Urinary System
593,Other Diseases Of Urinary System
594,Other Diseases Of Urinary System
595,Other Diseases Of Urinary System
596,Other Diseases Of Urinary System
597,Other Diseases Of Urinary System
598,Other Diseases Of Urinary System
599,Other Diseases Of Urinary System
600,Diseases Of Male Genital Organs
601,Diseases Of Male Genital Organs
602,Diseases Of Male Genital Organs
603,Diseases Of Male Genital Organs
604,Diseases Of Male Genital Organs
605,Diseases Of Male Genital Organs
607,Diseases Of Male Genital Organs
608,Diseases Of Male Genital Organs
610,Disorders Of Breast
611,Disorders Of Breast
614,Inflammatory Disease Of Female Pelvic Organs
615,Inflammatory Disease Of Female Pelvic Organs
616,Inflammatory Disease Of Female Pelvic Organs
617,Other Disorders Of Female Genital Tract
618,Other Disorders Of Female Genital Tract
619,Other Disorders Of Female Genital Tract
620,Other Disorders Of Female Genital Tract
621,Other Disorders Of Female Genital Tract
622,Other Disorders Of Female Genital Tract
623,Other Disorders Of Female Genital Tract
624,Other Disorders Of Female Genital Tract
625,Other Disorders Of Female Genital Tract
626,Other Disorders Of Female Genital Tract
627,Other Disorders Of Female Genital Tract
632,Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome
633,Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome
634,Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome
637,Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome
640,Complications Mainly Related To Pregnancy
641,Complications Mainly Related To Pregnancy
642,Complications Mainly Related To Pregnancy
643,Complications Mainly Related To Pregnancy
644,Complications Mainly Related To Pregnancy
645,Complications Mainly Related To Pregnancy
646,Complications Mainly Related To Pregnancy
647,Complications Mainly Related To Pregnancy
648,Complications Mainly Related To Pregnancy
649,Complications Mainly Related To Pregnancy
652,"Normal Delivery, And Other Indications For Care In Pregnancy, Labor, And Delivery"
653,"Normal Delivery, And Other Indications For Care In Pregnancy, Labor, And Delivery"
654,"Normal Delivery, And Other Indications For Care In Pregnancy, Labor, And Delivery"
655,"Normal Delivery, And Other Indications For Care In Pregnancy, Labor, And Delivery"
656,"Normal Delivery, And Other Indications For Care In Pregnancy, Labor, And Delivery"
657,"Normal Delivery, And Other Indications For Care In Pregnancy, Labor, And Delivery"
658,"Normal Delivery, And Other Indications For Care In Pregnancy, Labor, And Delivery"
659,"Normal Delivery, And Other Indications For Care In Pregnancy, Labor, And Delivery"
660,Complications Occurring Mainly In The Course Of Labor And Delivery
661,Complications Occurring Mainly In The Course Of Labor And Delivery
663,Complications Occurring Mainly In The Course Of Labor And Delivery
664,Complications Occurring Mainly In The Course Of Labor And Delivery
665,Complications Occurring Mainly In The Course Of Labor And Delivery
669,Complications Occurring Mainly In The Course Of Labor And Delivery
670,Complications Of The Puerperium
671,Complications Of The Puerperium
674,Complications Of The Puerperium
680,Infections Of Skin And Subcutaneous Tissue
681,Infections Of Skin And Subcutaneous Tissue
682,Infections Of Skin And Subcutaneous Tissue
683,Infections Of Skin And Subcutaneous Tissue
684,Infections Of Skin And Subcutaneous Tissue
685,Infections Of Skin And Subcutaneous Tissue
686,Infections Of Skin And Subcutaneous Tissue
690,Other Inflammatory Conditions Of Skin And Subcutaneous Tissue
691,Other Inflammatory Conditions Of Skin And Subcutaneous Tissue
692,Other Inflammatory Conditions Of Skin And Subcutaneous Tissue
693,Other Inflammatory Conditions Of Skin And Subcutaneous Tissue
694,Other Inflammatory Conditions Of Skin And Subcutaneous Tissue
695,Other Inflammatory Conditions Of Skin And Subcutaneous Tissue
696,Other Inflammatory Conditions Of Skin And Subcutaneous Tissue
697,Other Inflammatory Conditions Of Skin And Subcutaneous Tissue
698,Other Inflammatory Conditions Of Skin And Subcutaneous Tissue
700,Other Diseases Of Skin And Subcutaneous Tissue
701,Other Diseases Of Skin And Subcutaneous Tissue
702,Other Diseases Of Skin And Subcutaneous Tissue
703,Other Diseases Of Skin And Subcutaneous Tissue
704,Other Diseases Of Skin And Subcutaneous Tissue
705,Other Diseases Of Skin And Subcutaneous Tissue
706,Other Diseases Of Skin And Subcutaneous Tissue
707,Other Diseases Of Skin And Subcutaneous Tissue
708,Other Diseases Of Skin And Subcutaneous Tissue
709,Other Diseases Of Skin And Subcutaneous Tissue
710,Arthropathies And Related Disorders
711,Arthropathies And Related Disorders
712,Arthropathies And Related Disorders
713,Arthropathies And Related Disorders
714,Arthropathies And Related Disorders
715,Arthropathies And Related Disorders
716,Arthropathies And Related Disorders
717,Arthropathies And Related Disorders
718,Arthropathies And Related Disorders
719,Arthropathies And Related Disorders
720,Dorsopathies
721,Dorsopathies
722,Dorsopathies
723,Dorsopathies
724,Dorsopathies
725,"Rheumatism, Excluding The Back"
726,"Rheumatism, Excluding The Back"
727,"Rheumatism, Excluding The Back"
728,"Rheumatism, Excluding The Back"
729,"Rheumatism, Excluding The Back"
730,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities"
731,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities"
732,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities"
733,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities"
734,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities"
735,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities"
736,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities"
737,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities"
738,"Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities"
741,Congenital Anomalies
742,Congenital Anomalies
744,Congenital Anomalies
745,Congenital Anomalies
746,Congenital Anomalies
747,Congenital Anomalies
748,Congenital Anomalies
750,Congenital Anomalies
751,Congenital Anomalies
752,Congenital Anomalies
753,Congenital Anomalies
754,Congenital Anomalies
755,Congenital Anomalies
756,Congenital Anomalies
757,Congenital Anomalies
758,Congenital Anomalies
759,Congenital Anomalies
780,Symptoms
781,Symptoms
782,Symptoms
783,Symptoms
784,Symptoms
785,Symptoms
786,Symptoms
787,Symptoms
788,Symptoms
789,Symptoms
790,Nonspecific Abnormal Findings
791,Nonspecific Abnormal Findings
792,Nonspecific Abnormal Findings
793,Nonspecific Abnormal Findings
794,Nonspecific Abnormal Findings
795,Nonspecific Abnormal Findings
796,Nonspecific Abnormal Findings
797,Ill-Defined And Unknown Causes Of Morbidity And Mortality
799,Ill-Defined And Unknown Causes Of Morbidity And Mortality
800,Fracture Of Skull
801,Fracture Of Skull
802,Fracture Of Skull
803,Fracture Of Skull
804,Fracture Of Skull
805,Fracture Of Spine And Trunk
806,Fracture Of Spine And Trunk
807,Fracture Of Spine And Trunk
808,Fracture Of Spine And Trunk
810,Fracture Of Upper Limb
811,Fracture Of Upper Limb
812,Fracture Of Upper Limb
813,Fracture Of Upper Limb
814,Fracture Of Upper Limb
815,Fracture Of Upper Limb
816,Fracture Of Upper Limb
817,Fracture Of Upper Limb
820,Fracture Of Lower Limb
821,Fracture Of Lower Limb
822,Fracture Of Lower Limb
823,Fracture Of Lower Limb
824,Fracture Of Lower Limb
825,Fracture Of Lower Limb
826,Fracture Of Lower Limb
827,Fracture Of Lower Limb
831,Dislocation
832,Dislocation
833,Dislocation
834,Dislocation
835,Dislocation
836,Dislocation
837,Dislocation
838,Dislocation
839,Dislocation
840,Sprains And Strains Of Joints And Adjacent Muscles
841,Sprains And Strains Of Joints And Adjacent Muscles
842,Sprains And Strains Of Joints And Adjacent Muscles
843,Sprains And Strains Of Joints And Adjacent Muscles
844,Sprains And Strains Of Joints And Adjacent Muscles
845,Sprains And Strains Of Joints And Adjacent Muscles
846,Sprains And Strains Of Joints And Adjacent Muscles
847,Sprains And Strains Of Joints And Adjacent Muscles
848,Sprains And Strains Of Joints And Adjacent Muscles
850,"Intracranial Injury, Excluding Those With Skull Fracture"
851,"Intracranial Injury, Excluding Those With Skull Fracture"
852,"Intracranial Injury, Excluding Those With Skull Fracture"
853,"Intracranial Injury, Excluding Those With Skull Fracture"
854,"Intracranial Injury, Excluding Those With Skull Fracture"
860,"Internal Injury Of Chest, Abdomen, And Pelvis"
861,"Internal Injury Of Chest, Abdomen, And Pelvis"
862,"Internal Injury Of Chest, Abdomen, And Pelvis"
863,"Internal Injury Of Chest, Abdomen, And Pelvis"
864,"Internal Injury Of Chest, Abdomen, And Pelvis"
865,"Internal Injury Of Chest, Abdomen, And Pelvis"
866,"Internal Injury Of Chest, Abdomen, And Pelvis"
867,"Internal Injury Of Chest, Abdomen, And Pelvis"
868,"Internal Injury Of Chest, Abdomen, And Pelvis"
869,"Internal Injury Of Chest, Abdomen, And Pelvis"
870,"Open Wound Of Head, Neck, And Trunk"
871,"Open Wound Of Head, Neck, And Trunk"
872,"Open Wound Of Head, Neck, And Trunk"
873,"Open Wound Of Head, Neck, And Trunk"
875,"Open Wound Of Head, Neck, And Trunk"
876,"Open Wound Of Head, Neck, And Trunk"
877,"Open Wound Of Head, Neck, And Trunk"
878,"Open Wound Of Head, Neck, And Trunk"
879,"Open Wound Of Head, Neck, And Trunk"
880,Open Wound Of Upper Limb
881,Open Wound Of Upper Limb
882,Open Wound Of Upper Limb
883,Open Wound Of Upper Limb
884,Open Wound Of Upper Limb
885,Open Wound Of Upper Limb
886,Open Wound Of Upper Limb
890,Open Wound Of Lower Limb
891,Open Wound Of Lower Limb
892,Open Wound Of Lower Limb
893,Open Wound Of Lower Limb
894,Open Wound Of Lower Limb
895,Open Wound Of Lower Limb
897,Open Wound Of Lower Limb
903,Injury To Blood Vessels
904,Injury To Blood Vessels
905,"Late Effects Of Injuries, Poisonings, Toxic Effects, And Other External Causes"
